track|artist|album|year
Laura|Sonny Stitt|I Keep Comin' Back! / Parallel-A-Stitt|1981
I Heard That|Sonny Stitt|Portrait Of A Legend|1982
Ain't No Sunshine When She's Gone|Sonny Stitt|Portrait Of A Legend|1982
Natural High|Sonny Stitt|Portrait Of A Legend|1982
Samba De Orfeu|Sonny Stitt|Portrait Of A Legend|1982
Guilty|Sonny Stitt|Portrait Of A Legend|1982
Secret Love|Sonny Stitt|Portrait Of A Legend|1982
Somethin'|Sonny Stitt|Portrait Of A Legend|1982
We've Only Just Begun|Sonny Stitt|Portrait Of A Legend|1982
Shamading|Sonny Stitt|Portrait Of A Legend|1982
They Long To Be Close To You|Sonny Stitt|Portrait Of A Legend|1982
On A Clear Day|Sonny Stitt|Portrait Of A Legend|1982
Body & Soul|Sonny Stitt|Portrait Of A Legend|1982
The Sharp Edge|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Shades Of Blue|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Cool|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
The Day After|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Topside|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Arbee|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Ill Wind|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
My Delight|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Night Work|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Matter Horns|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Loverman|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Satin Doll|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Don't Blame Me|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Hello|Howard McGhee / Sonny Stitt|Howard McGhee / Sonny Stitt|1983
Steamroller|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
I'll Be Seeing You|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Out Of Nowhere|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Sweet Georgia Brown|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Keepin' It|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
This Is Always|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Makin' It|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Angel Eyes|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
At Last|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Bouncin' With Bud|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
As Time Goes By|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Swifty|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Sugar|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
Jumpin' The Blues|Sonny Stitt|The Last Stitt Sessions Vol. 1 & 2|1984
S'posin'|Sonny Stitt|S'posin'|1984
O Sole Mio|Sonny Stitt|S'posin'|1984
Nightmare|Sonny Stitt|S'posin'|1984
Feelin's|Sonny Stitt|S'posin'|1984
Goodnight Ladies|Sonny Stitt|S'posin'|1984
If I Should Lose You|Sonny Stitt|S'posin'|1984
Hollerin' The Blues|Sonny Stitt|S'posin'|1984
Ringin' In|Sonny Stitt|Sonny Stitt|1987
Way You Look Tonight|Sonny Stitt|Sonny Stitt|1987
Satin Doll|Sonny Stitt|Sonny Stitt|1987
Sunday|Sonny Stitt|Sonny Stitt|1987
Lover Man|Sonny Stitt|Sonny Stitt|1987
Pam Ain't Blue|Sonny Stitt|Sonny Stitt|1987
Soul Shack|Sonny Stitt|Soul Classics - The Prestige Collection|1988
When Sunny Gets Blue|Sonny Stitt|Soul Classics - The Prestige Collection|1988
Night Crawler|Sonny Stitt|Soul Classics - The Prestige Collection|1988
Goin' Down Slow|Sonny Stitt|Soul Classics - The Prestige Collection|1988
Night Letter|Sonny Stitt|Soul Classics - The Prestige Collection|1988
When It's Sleepy Time Down South|Sonny Stitt|Soul Classics - The Prestige Collection|1988
Walk On By|Sonny Stitt|Soul Classics - The Prestige Collection|1988
Lover Man|Sonny Stitt|Soul Classics - The Prestige Collection|1988
Soul Shack|Sonny Stitt|Soul Classics|1988
When Sunny Gets Blue|Sonny Stitt|Soul Classics|1988
Night Crawler|Sonny Stitt|Soul Classics|1988
Goin' Dowjn Slow|Sonny Stitt|Soul Classics|1988
Night Letter|Sonny Stitt|Soul Classics|1988
When It's Sleepy Time Down South|Sonny Stitt|Soul Classics|1988
Walk On By|Sonny Stitt|Soul Classics|1988
Lover Man|Sonny Stitt|Soul Classics|1988
Goin' To D.C.|Sonny Stitt|Soul Classics|1988
Marchin'|"Eddie ""Lockjaw"" Davis, Sonny Stitt"|Jaws & Stitt At Birdland|1991
S.O.S.|"Eddie ""Lockjaw"" Davis, Sonny Stitt"|Jaws & Stitt At Birdland|1991
Jaws|"Eddie ""Lockjaw"" Davis, Sonny Stitt"|Jaws & Stitt At Birdland|1991
I Can't Get Started|"Eddie ""Lockjaw"" Davis, Sonny Stitt"|Jaws & Stitt At Birdland|1991
Roller Coaster|"Eddie ""Lockjaw"" Davis, Sonny Stitt"|Jaws & Stitt At Birdland|1991
All The Things You Are|"Eddie ""Lockjaw"" Davis, Sonny Stitt"|Jaws & Stitt At Birdland|1991
Whoops|"Eddie ""Lockjaw"" Davis, Sonny Stitt"|Jaws & Stitt At Birdland|1991
Don't Blame Me|"Eddie ""Lockjaw"" Davis, Sonny Stitt"|Jaws & Stitt At Birdland|1991
Leapin' On Lenox|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
On Green Dolphin Street|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
Body And Soul|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
Quiet Nights|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
Just Friends|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
Mean To Me|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
I Can't Get Started|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
My Little Suede Shoes|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
There Will Never Be Another You|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
Duty Free|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
Streamline Stanley|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
Masquerade Is Over|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
Simone's Blues|"Eddie ""Lockjaw"" Davis / Sonny Stitt"|"Eddie ""Lockjaw"" Davis Sonny Stitt"|1991
So What|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
On Green Dolphin Street|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
All Blues/The Theme|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Coltrane Interview|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
So What|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Fran-Dance|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Walkin'/The Theme|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Walkin'|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Autumn Leaves|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
So What|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
'Round Midnight/The Theme|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
June Night|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Stardust|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
On Green Dolphin Street|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
All Blues/The Theme|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
All Of You|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Walkin'|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Autumn Leaves/The Theme|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Softly As In A Morning Sunrise|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Makin' Whopee|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
Lover Man|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
If I Were A Bell|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
No Blues/The Theme|Miles Davis With John Coltrane And Sonny Stitt|In Stockholm 1960 Complete|1992
I Know That You Know|Sonny Stitt|The Verve Years|1992
Moten Swing|Sonny Stitt|The Verve Years|1992
Try A Little Tenderness|Sonny Stitt|The Verve Years|1992
12th Street Rag|Sonny Stitt|The Verve Years|1992
New York Blues|Sonny Stitt|The Verve Years|1992
Scrapple From The Apple|Sonny Stitt|The Verve Years|1992
Down Home Blues|Sonny Stitt|The Verve Years|1992
Back To My Home Town|Sonny Stitt|The Verve Years|1992
Tune Up|Sonny Stitt|The Verve Years|1992
Autumn In New York|Sonny Stitt|The Verve Years|1992
Two For Timbucktu|Sonny Stitt|The Verve Years|1992
Blues ForBags|Sonny Stitt|The Verve Years|1992
Body And Soul|Sonny Stitt|The Verve Years|1992
After You've Gone|Sonny Stitt|The Verve Years|1992
Tubby|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Dumplin'|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
When You Wish Upon A Star|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Shuffle Twist|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Sleeping Susan|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Out In The Cold Again|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Love I've Found You|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
But Not For Me|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Too Marvelous For Words|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
If You Are But A Dream|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Scram|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Ballad For Baby|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Cool, Cool, Daddy|Gene Ammons / Sonny Stitt / Jack McDuff*|Soul Summit |1992
Avalon|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Later|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Ain't Misbehavin'|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Mean To Me|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Stairway To The Stars|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Touch Of The Blues|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Count Every Star|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Nice Work If You Can Get It|Sonny Stitt|Prestige First Sessions Vol. 2|1992
There Will Never Be Another You|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Blazin'|Sonny Stitt|Prestige First Sessions Vol. 2|1992
To Think You've Chosen Me|Sonny Stitt|Prestige First Sessions Vol. 2|1992
After You've Gone|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Our Very Own|Sonny Stitt|Prestige First Sessions Vol. 2|1992
S'Wonderful|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Nevertheless|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Jeepers Creepers|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Imagination|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Cherokee|Sonny Stitt|Prestige First Sessions Vol. 2|1992
The Thrill Of Your Kiss|Sonny Stitt|Prestige First Sessions Vol. 2|1992
If The Moon Turns Green|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Down With It|Sonny Stitt|Prestige First Sessions Vol. 2|1992
For The Fat Man|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Splinter|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Confessin'|Sonny Stitt|Prestige First Sessions Vol. 2|1992
Blues Up And DownWritten-By – Gene Ammons|Sonny Stitt|Loose Walk|1993
Ain't Misbehavin'Written-By – Razaf*, Waller*|Sonny Stitt|Loose Walk|1993
After You've GoneWritten-By – Creamer*, Layton*|Sonny Stitt|Loose Walk|1993
My Melancholy BabyWritten-By – Burnett*, Norton*|Sonny Stitt|Loose Walk|1993
I'm In The Mood For LoveWritten-By – McHugh-Fields*|Sonny Stitt|Loose Walk|1993
Stompin' At SavoyWritten-By – Goodman*, Webb*, Sampson*|Sonny Stitt|Loose Walk|1993
Blues After DarkWritten-By – Benny Golson|Sonny Stitt|Loose Walk|1993
Lover ManWritten-By – Davis*, Sherman*, Ramirez*|Sonny Stitt|Loose Walk|1993
Au Privave (1964)Written-By – Charlie Parker|Sonny Stitt|Loose Walk|1993
Loose WalkWritten-By – Sonny Stitt|Sonny Stitt|Loose Walk|1993
TenderlyWritten-By – Lawrence*, Gross*|Sonny Stitt|Loose Walk|1993
Old FolksWritten-By – Hill*, Robinson*|Sonny Stitt|Loose Walk|1993
Au PrivaveWritten-By – Charlie Parker|Sonny Stitt|Loose Walk|1993
Sonny's Blues|Sonny Stitt|Sonny Stitt|1994
Old Folks|Sonny Stitt|Sonny Stitt|1994
Lax|Sonny Stitt|Sonny Stitt|1994
Yesterdays|Sonny Stitt|Sonny Stitt|1994
What's New|Sonny Stitt|Sonny Stitt|1994
Four|Sonny Stitt|Sonny Stitt|1994
I Got Rhythm|Sonny Stitt|Verve Jazz Masters 50|1995
Mean To Me|Sonny Stitt|Verve Jazz Masters 50|1995
Sonny's Tune|Sonny Stitt|Verve Jazz Masters 50|1995
Time After Time|Sonny Stitt|Verve Jazz Masters 50|1995
Walkin'|Sonny Stitt|Verve Jazz Masters 50|1995
Do Nothin' Till You Hear From Me|Sonny Stitt|Verve Jazz Masters 50|1995
Easy Does It|Sonny Stitt|Verve Jazz Masters 50|1995
Just Friends|Sonny Stitt|Verve Jazz Masters 50|1995
Easy Living|Sonny Stitt|Verve Jazz Masters 50|1995
On The Sunny Side Of The Street|Sonny Stitt|Verve Jazz Masters 50|1995
Laura|Sonny Stitt|Verve Jazz Masters 50|1995
The String|Sonny Stitt|Verve Jazz Masters 50|1995
Waltz For Diane|Sonny Stitt|Just Friends |1995
Streamlined Stanley|Sonny Stitt|Just Friends |1995
Yes, Jesus Loves Me|Sonny Stitt|Just Friends |1995
Lester Leaps In|Sonny Stitt|Just Friends |1995
Just Friends|Sonny Stitt|Just Friends |1995
The Way You Look Tonight|Sonny Stitt|Just Friends |1995
Turn It On|Sonny Stitt|Legends Of Acid Jazz|1996
Bar-B-Que Man|Sonny Stitt|Legends Of Acid Jazz|1996
Miss Riverside|Sonny Stitt|Legends Of Acid Jazz|1996
Cry Me A River|Sonny Stitt|Legends Of Acid Jazz|1996
There Are Such Things|Sonny Stitt|Legends Of Acid Jazz|1996
Goin' To D.C.|Sonny Stitt|Legends Of Acid Jazz|1996
Aires|Sonny Stitt|Legends Of Acid Jazz|1996
Black Vibrations|Sonny Stitt|Legends Of Acid Jazz|1996
Calling Card|Sonny Stitt|Legends Of Acid Jazz|1996
Where Is Love?|Sonny Stitt|Legends Of Acid Jazz|1996
Them Funky Changes|Sonny Stitt|Legends Of Acid Jazz|1996
Sunday|Sonny Stitt|Night Letter|1996
Soul Shack|Sonny Stitt|Night Letter|1996
Love Nest|Sonny Stitt|Night Letter|1996
Hairy|Sonny Stitt|Night Letter|1996
For You|Sonny Stitt|Night Letter|1996
Shadows|Sonny Stitt|Night Letter|1996
Night Letter|Sonny Stitt|Night Letter|1996
When It's Sleepy Time Down South|Sonny Stitt|Night Letter|1996
Stringin' The Jug|Sonny Stitt|Night Letter|1996
Pretend|Sonny Stitt|Night Letter|1996
Blue String|Sonny Stitt|Night Letter|1996
You'll Never Know|Sonny Stitt|Night Letter|1996
Loose Walk|Sonny Stitt|Night Letter|1996
In A Sentimental Mood|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
In A Mellow Tone|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
Jeep's Blues|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
The Way You Look Tonight|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
Forecast|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
You Don't Know What Love Is / I'm Getting Sentimental Over You|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
Lester Leaps In|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
Just Friends|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
All God's Children Got Rhythm|Sonny Stitt|The Jazz Masters - 100 Años De Swing |1997
Bebop In PastelWritten-By – Powell*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Fool's FancyWritten-By – Powell*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
BombayWritten-By – Fuller*, Dorham*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Ray's IdeaWritten-By – Fuller*, Brown*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Serenade To A SquareWritten-By – Powell*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Good KickWritten-By – Stitt*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Seven UpWritten-By – Stitt*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Blues In BebopWritten-By – Mc Kinley Dorham*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Boppin' A RiffWritten-By – Stitt*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Fat BoyWritten-By – Navarro*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Everything's CoolWritten-By – Fuller*, Stitt*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Webb CityWritten-By – Powell*, Fuller*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Calling Dr. JazzWritten-By – Davis*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
FractureWritten-By – Davis*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
MaternityWritten-By – Davis*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Stealin' TrashWritten-By – Davis*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Just A MysteryWritten-By – Davis*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Red PepperWritten-By – Davis*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
SpinalWritten-By – Davis*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Hollerin' And Screamin'Written-By – Davis*|Fats Navarro, Sonny Stitt, Bud Powell|The Bebop Boys|1997
Ratio And Proporting|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Airegin|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Little Angie|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
My Man String|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Funk In 3/4|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
It's You Or No One|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
All The Things You Are|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Lover Man (Oh, Where Can You Be?)|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
P.S. I Love You|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Stella By Starlight|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Bye Bye Blackbird|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Over The Rainbow|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Candy|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
Strike Up The Band|Sonny Stitt / Don Patterson|Sonny Stitt/Don Patterson, Vol. 2|1998
I'll Walk Alone|Sonny Stitt|Best Of The Rest|1998
I Got It Bad And That Ain't Good|Sonny Stitt|Best Of The Rest|1998
My Buddy|Sonny Stitt|Best Of The Rest|1998
Red Top|Sonny Stitt|Best Of The Rest|1998
Is You Is Or Is You Ain't My Baby|Sonny Stitt|Best Of The Rest|1998
At Last|Sonny Stitt|Best Of The Rest|1998
Bye Bye Blackbird|Sonny Stitt|Best Of The Rest|1998
Swifty|Sonny Stitt|Best Of The Rest|1998
As Time Goes By|Sonny Stitt|Best Of The Rest|1998
Sweet And Lovely|Sonny Stitt|Best Of The Rest|1998
It Might As Well Be Spring|Sonny Stitt|Best Of The Rest|1998
The Good Life|Sonny Stitt|Best Of The Rest|1998
Koko|Sonny Stitt|How High The Moon|1998
Easy Listening|Sonny Stitt|How High The Moon|1998
It's Hipper Than That|Sonny Stitt|How High The Moon|1998
How High The Moon|Sonny Stitt|How High The Moon|1998
Lover Man|Sonny Stitt|How High The Moon|1998
Fools Rush In|Sonny Stitt|How High The Moon|1998
Lonesome Road|Sonny Stitt|How High The Moon|1998
I Want To Go A Home|Sonny Stitt|How High The Moon|1998
Katea|Sonny Stitt|How High The Moon|1998
Flame And Frost|Sonny Stitt|How High The Moon|1998
The Night Has A Thousand Eyes|Sonny Stitt|How High The Moon|1998
Our Day Will Come|Sonny Stitt|How High The Moon|1998
My Main Man|Sonny Stitt|How High The Moon|1998
The Champ|Sonny Stitt|Givin' Away The Store|1999
Tune Up|Sonny Stitt|Givin' Away The Store|1999
(I Don't Stand) A Ghost Of A Chance With You|Sonny Stitt|Givin' Away The Store|1999
12!|Sonny Stitt|Givin' Away The Store|1999
Just Friends|Sonny Stitt|Givin' Away The Store|1999
Is You Is Or Is You Ain't My Baby?|Sonny Stitt|Givin' Away The Store|1999
At Last|Sonny Stitt|Givin' Away The Store|1999
Exactly Like You|Sonny Stitt|Givin' Away The Store|1999
Constellation|Sonny Stitt|Givin' Away The Store|1999
Every Tub|Sonny Stitt|Givin' Away The Store|1999
You Can Depend On Me|Sonny Stitt|Givin' Away The Store|1999
Steamroller|Sonny Stitt|Givin' Away The Store|1999
Dig Dr. Woody|Sonny Stitt|Givin' Away The Store|1999
Oh, Lady Be Good|Sonny*, Sweets* & Jaws*|What's New|1992
What's New|Sonny*, Sweets* & Jaws*|What's New|1992
There Is No Greater Love|Sonny*, Sweets* & Jaws*|What's New|1992
The Chef|Sonny*, Sweets* & Jaws*|What's New|1992
I Can't Get Started With You|Sonny*, Sweets* & Jaws*|What's New|1992
Lester Leaps In|Sonny*, Sweets* & Jaws*|What's New|1992
Sonny's Blues|Sonny*, Sweets* & Jaws*|What's New|1992
Old Folks|Sonny*, Sweets* & Jaws*|What's New|1992
Lax|Sonny*, Sweets* & Jaws*|What's New|1992
Yesterdays|Sonny*, Sweets* & Jaws*|What's New|1992
What's New|Sonny*, Sweets* & Jaws*|What's New|1992
Four|Sonny*, Sweets* & Jaws*|What's New|1992
Low Flame|Sonny Stitt|Low Flame|1999
Put Your Little Foot Right Out|Sonny Stitt|Low Flame|1999
Cyhthia Sue|Sonny Stitt|Low Flame|1999
Donald Duck|Sonny Stitt|Low Flame|1999
Close Your Eyes|Sonny Stitt|Low Flame|1999
Silly Billy|Sonny Stitt|Low Flame|1999
Baby, Do You Ever Think Of Me|Sonny Stitt|Low Flame|1999
Fine And Dandy|Sonny Stitt|Low Flame|1999
My New Baby|Sonny Stitt|Low Flame|1999
Misty|Sonny Stitt|Low Flame|1999
Soul Food|Sonny Stitt|Low Flame|1999
Shangri-La|Sonny Stitt|Low Flame|1999
Mama Don't Allow|Sonny Stitt|Low Flame|1999
The Eternal One|Sonny Stitt|Low Flame|1999
Mambo Inn|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
You'll Never Know|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Mo' Gravy|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
If I Should Lose You|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Shuckin' Blues|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Don't Take Your Love From Me|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Be My Love|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Now's The Time|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Exactly Like You|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Black Street|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Confirmation|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Constellation|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
(I Don't Stand) A Ghost Of A Chance With You|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Webb City|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
By Accident|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Ray's Idea|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Casbah|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
It's Magic|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Topsy|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Tune Up|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
I Can't Get Started|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Idaho|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Just Friends|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Blues For Prez And Bird|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
Groovin' High|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
I Got Rhythm|Sonny Stitt, Lou Donaldson|Keepers Of The Flame|1999
"""C"" Jam Blues"|Sonny Stitt|Constellation|1999
I Got It Bad And That Ain't Good|Sonny Stitt|Constellation|1999
Perdido|Sonny Stitt|Constellation|1999
Blues For Duke|Sonny Stitt|Constellation|1999
Don't Get Around Much Anymore|Sonny Stitt|Constellation|1999
