track|artist|album|year
People Will Say We're In Love|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
Bloosey|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
Birds' Eye|Sonny Stitt With The New Yorkers (4)|Sonny Stitt With The New Yorkers|1957
Tour De Force|Dizzy Gillespie, John Lewis (2), The Modern Jazz Sextett*, Sonny Stitt|Cross Currents|1957
Dizzy Meets Sonny|Dizzy Gillespie, John Lewis (2), The Modern Jazz Sextett*, Sonny Stitt|Cross Currents|1957
Mean To Me|Dizzy Gillespie, John Lewis (2), The Modern Jazz Sextett*, Sonny Stitt|Cross Currents|1957
Blues For Bird|Dizzy Gillespie, John Lewis (2), The Modern Jazz Sextett*, Sonny Stitt|Cross Currents|1957
Will You Still Be Mine|The Oscar Peterson Trio / The Oscar Peterson Trio With Roy Eldridge, Sonny Stitt And Jo Jones|The Oscar Peterson Trio At Newport|1957
Joyous Spring|The Oscar Peterson Trio / The Oscar Peterson Trio With Roy Eldridge, Sonny Stitt And Jo Jones|The Oscar Peterson Trio At Newport|1957
Gal In Calico|The Oscar Peterson Trio / The Oscar Peterson Trio With Roy Eldridge, Sonny Stitt And Jo Jones|The Oscar Peterson Trio At Newport|1957
52nd Street Theme|The Oscar Peterson Trio / The Oscar Peterson Trio With Roy Eldridge, Sonny Stitt And Jo Jones|The Oscar Peterson Trio At Newport|1957
Monitor Blues|The Oscar Peterson Trio / The Oscar Peterson Trio With Roy Eldridge, Sonny Stitt And Jo Jones|The Oscar Peterson Trio At Newport|1957
Willow Weep For Me|The Oscar Peterson Trio / The Oscar Peterson Trio With Roy Eldridge, Sonny Stitt And Jo Jones|The Oscar Peterson Trio At Newport|1957
Autumn In New York|The Oscar Peterson Trio / The Oscar Peterson Trio With Roy Eldridge, Sonny Stitt And Jo Jones|The Oscar Peterson Trio At Newport|1957
Roy's Son|The Oscar Peterson Trio / The Oscar Peterson Trio With Roy Eldridge, Sonny Stitt And Jo Jones|The Oscar Peterson Trio At Newport|1957
Wheatleigh Hall|Dizzy Gillespie With Sonny Rollins And Sonny Stitt|Duets|1958
Sumphin'|Dizzy Gillespie With Sonny Rollins And Sonny Stitt|Duets|1958
Con Alma|Dizzy Gillespie With Sonny Rollins And Sonny Stitt|Duets|1958
Haute Mon'|Dizzy Gillespie With Sonny Rollins And Sonny Stitt|Duets|1958
The String|Sonny Stitt|Only The Blues|1958
Cleveland Blues|Sonny Stitt|Only The Blues|1958
B.W. Blues|Sonny Stitt|Only The Blues|1958
Blues For Bags|Sonny Stitt|Only The Blues|1958
Propapagoon|Sonny Stitt|Sonny Stitt|1958
This Is Always|Sonny Stitt|Sonny Stitt|1958
Jack Spratt|Sonny Stitt|Sonny Stitt|1958
Just You, Just Me|Sonny Stitt|Sonny Stitt|1958
Cool Blues|Sonny Stitt|Sonny Stitt|1958
Mister Sun|Sonny Stitt|Sonny Stitt|1958
Dancing On The Ceiling|Sonny Stitt|Sonny Stitt|1958
Everyone Does|Sonny Stitt|Sonny Stitt|1958
Happy Faces|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
Am I Blue?|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
I'll Be Seeing You|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
When You're Smiling|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
In A Little Spanish Town|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
Them There Eyes|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
Back In Your Own Backyard|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
Foot Tapper|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
Sometimes I Feel Loke A Motherless Child|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
Shadow Waltz|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
Wind Up|Sonny Stitt|The Saxophones Of Sonny Stitt|1958
Will You Still Be Mine?|The Oscar Peterson Trio With Roy Eldridge / Sonny Stitt & Jo Jones|At Newport|1958
Joy Spring|The Oscar Peterson Trio With Roy Eldridge / Sonny Stitt & Jo Jones|At Newport|1958
Gal In Calico|The Oscar Peterson Trio With Roy Eldridge / Sonny Stitt & Jo Jones|At Newport|1958
52nd Street Theme|The Oscar Peterson Trio With Roy Eldridge / Sonny Stitt & Jo Jones|At Newport|1958
Monitor Blues|The Oscar Peterson Trio With Roy Eldridge / Sonny Stitt & Jo Jones|At Newport|1958
Willow Weep For Me|The Oscar Peterson Trio With Roy Eldridge / Sonny Stitt & Jo Jones|At Newport|1958
Autumn In New York|The Oscar Peterson Trio With Roy Eldridge / Sonny Stitt & Jo Jones|At Newport|1958
Roy's Son|The Oscar Peterson Trio With Roy Eldridge / Sonny Stitt & Jo Jones|At Newport|1958
When The Red Red Robin Comes Bob Bob Bobbin' Along|Sonny Stitt|A Little Bit Of Stitt|1959
For All We Know|Sonny Stitt|A Little Bit Of Stitt|1959
Confessin' That I Love You|Sonny Stitt|A Little Bit Of Stitt|1959
Cocktails For Two|Sonny Stitt|A Little Bit Of Stitt|1959
Star Eyes|Sonny Stitt|A Little Bit Of Stitt|1959
On A Slow Boat To China|Sonny Stitt|A Little Bit Of Stitt|1959
Laura|Sonny Stitt|A Little Bit Of Stitt|1959
J.B. Blues|Sonny Stitt|A Little Bit Of Stitt|1959
Don't Take Your Love From Me|Sonny Stitt|A Little Bit Of Stitt|1959
After The Late Late Show|Sonny Stitt|A Little Bit Of Stitt|1959
Lonesome Road|Sonny Stitt|Sonny Stitt Swings The Most|1959
The Gypsy|Sonny Stitt|Sonny Stitt Swings The Most|1959
That's The Way To Be (Vocal By Sonny Stitt)|Sonny Stitt|Sonny Stitt Swings The Most|1959
There Is No Greater Love|Sonny Stitt|Sonny Stitt Swings The Most|1959
Jaunty|Sonny Stitt|Sonny Stitt Swings The Most|1959
Blue Sunday|Sonny Stitt|Sonny Stitt Swings The Most|1959
The Way You Look Tonight|Sonny Stitt|Sonny Stitt Swings The Most|1959
New York Blues|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
Giuff|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
Laura|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
Sonny Boy|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
Down Country|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
Singin' In The Rain|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
Uptown|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
Downtown|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
I Let A Song Go Out Of My Heart|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
Two For Timbucktu|Sonny Stitt|Plays Jimmy Giuffre Arrangements|1959
On The Sunny Side Of The Street|Dizzy Gillespie / Sonny Stitt / Sonny Rollins|Sonny Side Up|1959
The Eternal Triangle|Dizzy Gillespie / Sonny Stitt / Sonny Rollins|Sonny Side Up|1959
After Hours|Dizzy Gillespie / Sonny Stitt / Sonny Rollins|Sonny Side Up|1959
I Know That You Know|Dizzy Gillespie / Sonny Stitt / Sonny Rollins|Sonny Side Up|1959
I Can't Give You Anything But Love|Sonny Stitt With The Oscar Peterson Trio|Sonny Stitt Sits In With The Oscar Peterson Trio|1959
Au Privave|Sonny Stitt With The Oscar Peterson Trio|Sonny Stitt Sits In With The Oscar Peterson Trio|1959
The Gypsy|Sonny Stitt With The Oscar Peterson Trio|Sonny Stitt Sits In With The Oscar Peterson Trio|1959
I'll Remember April|Sonny Stitt With The Oscar Peterson Trio|Sonny Stitt Sits In With The Oscar Peterson Trio|1959
Scrapple From The Apple|Sonny Stitt With The Oscar Peterson Trio|Sonny Stitt Sits In With The Oscar Peterson Trio|1959
Moten Swing|Sonny Stitt With The Oscar Peterson Trio|Sonny Stitt Sits In With The Oscar Peterson Trio|1959
Blues For Pres, Sweets, Ben And All The Other Funky Ones|Sonny Stitt With The Oscar Peterson Trio|Sonny Stitt Sits In With The Oscar Peterson Trio|1959
Easy Does It|Sonny Stitt With The Oscar Peterson Trio|Sonny Stitt Sits In With The Oscar Peterson Trio|1959
Angel Eyes|Sonny Stitt|Stittsville|1960
It All Depends On You|Sonny Stitt|Stittsville|1960
Stormy Thursday|Sonny Stitt|Stittsville|1960
Embraceable You|Sonny Stitt|Stittsville|1960
It Could Happen To You|Sonny Stitt|Stittsville|1960
But Not For Me|Sonny Stitt|Stittsville|1960
Memories Of You|Sonny Stitt|Stittsville|1960
I Cried For You (Now It's Your Turn To Cry Over Me)|Sonny Stitt|Stittsville|1960
Bright As Snow|Sonny Stitt|Stittsville|1960
Spinning|Sonny Stitt|Stittsville|1960
Sunny Side Up|Sonny Stitt|Sonny Side Up|1960
On Green Dolphin Street|Sonny Stitt|Sonny Side Up|1960
The More I See You|Sonny Stitt|Sonny Side Up|1960
Don't Take Your Love From Me|Sonny Stitt|Sonny Side Up|1960
My Blue Heaven|Sonny Stitt|Sonny Side Up|1960
My Mother's Eyes|Sonny Stitt|Sonny Side Up|1960
When I Grow Too Old To Dream|Sonny Stitt|Sonny Side Up|1960
Bye Bye Blues|Sonny Stitt|Sonny Side Up|1960
I've Got The World On A String|Sonny Stitt|Sonny Side Up|1960
Skylark|Sonny Stitt|The Sonny Side Of Stitt|1960
Don't Worry 'Bout Me|Sonny Stitt|The Sonny Side Of Stitt|1960
I'll Remember April|Sonny Stitt|The Sonny Side Of Stitt|1960
Day By Day|Sonny Stitt|The Sonny Side Of Stitt|1960
Red Top|Sonny Stitt|The Sonny Side Of Stitt|1960
Moonray|Sonny Stitt|The Sonny Side Of Stitt|1960
Old Fashioned Blues|Sonny Stitt|The Sonny Side Of Stitt|1960
I Never Knew|Sonny Stitt|The Sonny Side Of Stitt|1960
Hitsburg|Sonny Stitt|The Sonny Side Of Stitt|1960
Ko-Ko|Sonny Stitt|Burnin'|1960
